ordinal	emoji	PUA-sample	PUA	PUA_UTF-8	Shift-JIS	Color	Japanese
#0001	☀		E63E	\x{EE98BE}	F89F	Red	晴れ
#0002	☁		E63F	\x{EE98BF}	F8A0	Blue	曇り
#0003	☔		E640	\x{EE9980}	F8A1	Blue	雨
#0004	⛄		E641	\x{EE9981}	F8A2	Blue	雪
#0005	⚡		E642	\x{EE9982}	F8A3	Orange	雷
#0006	🌀		E643	\x{EE9983}	F8A4	Red	台風
#0007	🌁		E644	\x{EE9984}	F8A5	Blue	霧
#0008	🌂		E645	\x{EE9985}	F8A6	Blue	小雨
#0009	♈		E646	\x{EE9986}	F8A7	Red	牡羊座
#0010	♉		E647	\x{EE9987}	F8A8	Orange	牡牛座
#0011	♊		E648	\x{EE9988}	F8A9	Lime	双子座
#0012	♋		E649	\x{EE9989}	F8AA	Blue	蟹座
#0013	♌		E64A	\x{EE998A}	F8AB	Red	獅子座
#0014	♍		E64B	\x{EE998B}	F8AC	Orange	乙女座
#0015	♎		E64C	\x{EE998C}	F8AD	Lime	天秤座
#0016	♏		E64D	\x{EE998D}	F8AE	Blue	蠍座
#0017	♐		E64E	\x{EE998E}	F8AF	Red	射手座
#0018	♑		E64F	\x{EE998F}	F8B0	Orange	山羊座
#0019	♒		E650	\x{EE9990}	F8B1	Lime	水瓶座
#0020	♓		E651	\x{EE9991}	F8B2	Blue	魚座
#0021	🎽		E652	\x{EE9992}	F8B3	Fuchsia	スポーツ
#0022	⚾		E653	\x{EE9993}	F8B4	Black	野球
#0023	⛳		E654	\x{EE9994}	F8B5	Blue	ゴルフ
#0024	🎾		E655	\x{EE9995}	F8B6	Lime	テニス
#0025	⚽		E656	\x{EE9996}	F8B7	Black	サッカー
#0026	🎿		E657	\x{EE9997}	F8B8	Blue	スキー
#0027	🏀		E658	\x{EE9998}	F8B9	Orange	バスケットボール
#0028	🏁		E659	\x{EE9999}	F8BA	Black	モータースポーツ
#0029	📟		E65A	\x{EE999A}	F8BB	Fuchsia	ポケットベル
#0030	🚃		E65B	\x{EE999B}	F8BC	Lime	電車
#0031	Ⓜ		E65C	\x{EE999C}	F8BD	Orange	地下鉄
#0032	🚄		E65D	\x{EE999D}	F8BE	Blue	新幹線
#0033	🚗		E65E	\x{EE999E}	F8BF	Black	車(セダン)
#0034	🚙		E65F	\x{EE999F}	F8C0	Lime	車(RV)
#0035	🚌		E660	\x{EE99A0}	F8C1	Red	バス
#0036	🚢		E661	\x{EE99A1}	F8C2	Blue	船
#0037	✈		E662	\x{EE99A2}	F8C3	Blue	飛行機
#0038	🏠		E663	\x{EE99A3}	F8C4	Red	家
#0039	🏢		E664	\x{EE99A4}	F8C5	Blue	ビル
#0040	🏣		E665	\x{EE99A5}	F8C6	Red	郵便局
#0041	🏥		E666	\x{EE99A6}	F8C7	Red	病院
#0042	🏦		E667	\x{EE99A7}	F8C8	Fuchsia	銀行
#0043	🏧		E668	\x{EE99A8}	F8C9	Red	ATM
#0044	🏨		E669	\x{EE99A9}	F8CA	Lime	ホテル
#0045	🏪		E66A	\x{EE99AA}	F8CB	Blue	コンビニ
#0046	⛽		E66B	\x{EE99AB}	F8CC	Fuchsia	ガソリンスタンド
#0047	🅿		E66C	\x{EE99AC}	F8CD	Blue	駐車場
#0048	🚥		E66D	\x{EE99AD}	F8CE	Black	信号
#0049	🚻		E66E	\x{EE99AE}	F8CF	Black	トイレ
#0050	🍴		E66F	\x{EE99AF}	F8D0	Black	レストラン
#0051	☕		E670	\x{EE99B0}	F8D1	Lime	喫茶店
#0052	🍸		E671	\x{EE99B1}	F8D2	Fuchsia	バー
#0053	🍺		E672	\x{EE99B2}	F8D3	Orange	ビール
#0054	🍔		E673	\x{EE99B3}	F8D4	Orange	ファーストフード
#0055	👠		E674	\x{EE99B4}	F8D5	Red	ブティック
#0056	✂		E675	\x{EE99B5}	F8D6	Blue	美容院
#0057	🎤		E676	\x{EE99B6}	F8D7	Black	カラオケ
#0058	🎥		E677	\x{EE99B7}	F8D8	Black	映画
#0059	↗		E678	\x{EE99B8}	F8D9	Black	右斜め上
#0060	🎠		E679	\x{EE99B9}	F8DA	Orange	遊園地
#0061	🎧		E67A	\x{EE99BA}	F8DB	Blue	音楽
#0062	🎨		E67B	\x{EE99BB}	F8DC	Fuchsia	アート
#0063	🎩		E67C	\x{EE99BC}	F8DD	Black	演劇
#0064	🎪		E67D	\x{EE99BD}	F8DE	Red	イベント
#0065	🎫		E67E	\x{EE99BE}	F8DF	Orange	チケット
#0066	🚬		E67F	\x{EE99BF}	F8E0	Black	喫煙
#0067	🚭		E680	\x{EE9A80}	F8E1	Red	禁煙
#0068	📷		E681	\x{EE9A81}	F8E2	Black	カメラ
#0069	👜		E682	\x{EE9A82}	F8E3	Red	カバン
#0070	📖		E683	\x{EE9A83}	F8E4	Orange	本
#0071	🎀		E684	\x{EE9A84}	F8E5	Red	リボン
#0072	🎁		E685	\x{EE9A85}	F8E6	Red	プレゼント
#0073	🎂		E686	\x{EE9A86}	F8E7	Red	バースデイ
#0074	☎		E687	\x{EE9A87}	F8E8	Black	電話
#0075	📱		E688	\x{EE9A88}	F8E9	Black	携帯電話
#0076	📝		E689	\x{EE9A89}	F8EA	Orange	メモ
#0077	📺		E68A	\x{EE9A8A}	F8EB	Blue	TV
#0078	🎮		E68B	\x{EE9A8B}	F8EC	Black	ゲーム
#0079	💿		E68C	\x{EE9A8C}	F8ED	Blue	CD
#0080	♥		E68D	\x{EE9A8D}	F8EE	Red	ハート
#0081	♠		E68E	\x{EE9A8E}	F8EF	Black	スペード
#0082	♦		E68F	\x{EE9A8F}	F8F0	Red	ダイヤ
#0083	♣		E690	\x{EE9A90}	F8F1	Black	クラブ
#0084	👀		E691	\x{EE9A91}	F8F2	Black	目
#0085	👂		E692	\x{EE9A92}	F8F3	Orange	耳
#0086	✊		E693	\x{EE9A93}	F8F4	Orange	手(グー)
#0087	✌		E694	\x{EE9A94}	F8F5	Orange	手(チョキ)
