Unicode	Emoji	Unicode Name	Docomo PUA
0023 20E3	#⃣	hash key	U+E6E0
0030 20E3	0⃣	keycap 0	U+E6EB
0031 20E3	1⃣	keycap 1	U+E6E2
0032 20E3	2⃣	keycap 2	U+E6E3
0033 20E3	3⃣	keycap 3	U+E6E4
0034 20E3	4⃣	keycap 4	U+E6E5
0035 20E3	5⃣	keycap 5	U+E6E6
0036 20E3	6⃣	keycap 6	U+E6E7
0037 20E3	7⃣	keycap 7	U+E6E8
0038 20E3	8⃣	keycap 8	U+E6E9
0039 20E3	9⃣	keycap 9	U+E6EA
00A9	©	copyright sign	U+E731
00AE	®	registered sign	U+E736
1F004	🀄	mahjong tile red dragon	
1F0CF	🃏	playing card black joker	
1F170	🅰	negative squared latin capital letter a	
1F171	🅱	negative squared latin capital letter b	
1F17E	🅾	negative squared latin capital letter o	
1F17F	🅿	negative squared latin capital letter p	U+E66C
1F18E	🆎	negative squared ab	
1F191	🆑	squared cl	U+E6DB
1F192	🆒	squared cool	
1F193	🆓	squared free	U+E6D7
1F194	🆔	squared id	U+E6D8
1F195	🆕	squared new	U+E6DD
1F196	🆖	squared ng	U+E72F
1F197	🆗	squared ok	U+E70B
1F198	🆘	squared sos	
1F199	🆙	squared up with exclamation mark	
1F19A	🆚	squared vs	
1F1E8 1F1F3	🇨🇳	regional indicator symbol letters cn	
1F1E9 1F1EA	🇩🇪	regional indicator symbol letters de	
1F1EA 1F1F8	🇪🇸	regional indicator symbol letters es	
1F1EB 1F1F7	🇫🇷	regional indicator symbol letters fr	
1F1EC 1F1E7	🇬🇧	regional indicator symbol letters gb	
1F1EE 1F1F9	🇮🇹	regional indicator symbol letters it	
1F1EF 1F1F5	🇯🇵	regional indicator symbol letters jp	
1F1F0 1F1F7	🇰🇷	regional indicator symbol letters kr	
1F1F7 1F1FA	🇷🇺	regional indicator symbol letters ru	
1F1FA 1F1F8	🇺🇸	regional indicator symbol letters us	
1F201	🈁	squared katakana koko	
1F202	🈂	squared katakana sa	
1F21A	🈚	squared cjk unified ideograph7121	
1F22F	🈯	squared cjk unified ideograph6307	
1F232	🈲	squared cjk unified ideograph7981	U+E738
1F233	🈳	squared cjk unified ideograph7a7a	U+E739
1F234	🈴	squared cjk unified ideograph5408	U+E73A
1F235	🈵	squared cjk unified ideograph6e80	U+E73B
1F236	🈶	squared cjk unified ideograph6709	
1F237	🈷	squared cjk unified ideograph6708	
1F238	🈸	squared cjk unified ideograph7533	
1F239	🈹	squared cjk unified ideograph5272	
1F23A	🈺	squared cjk unified ideograph55b6	
1F250	🉐	circled ideograph advantage	
1F251	🉑	circled ideograph accept	
1F300	🌀	cyclone	U+E643
1F301	🌁	foggy	U+E644
1F302	🌂	closed umbrella	U+E645
1F303	🌃	night with stars	U+E6B3
1F304	🌄	sunrise over mountains	
1F305	🌅	sunrise	
1F306	🌆	cityscape at dusk	
1F307	🌇	sunset over buildings	
1F308	🌈	rainbow	
1F309	🌉	bridge at night	
1F30A	🌊	water wave	U+E73F
1F30B	🌋	volcano	
1F30C	🌌	milky way	
1F30F	🌏	earth globe asiaaustralia	
1F311	🌑	new moon symbol	U+E69C
1F313	🌓	first quarter moon symbol	U+E69E
1F314	🌔	waxing gibbous moon symbol	U+E69D
1F315	🌕	full moon symbol	U+E6A0
1F319	🌙	crescent moon	U+E69F
1F31B	🌛	first quarter moon with face	
1F31F	🌟	glowing star	
1F320	🌠	shooting star	
1F330	🌰	chestnut	
1F331	🌱	seedling	U+E746
1F334	🌴	palm tree	
1F335	🌵	cactus	
1F337	🌷	tulip	U+E743
1F338	🌸	cherry blossom	U+E748
1F339	🌹	rose	
1F33A	🌺	hibiscus	
1F33B	🌻	sunflower	
1F33C	🌼	blossom	
1F33D	🌽	ear of maize	
1F33E	🌾	ear of rice	
1F33F	🌿	herb	
1F340	🍀	four leaf clover	U+E741
1F341	🍁	maple leaf	U+E747
1F342	🍂	fallen leaf	
1F343	🍃	leaf fluttering in wind	
1F344	🍄	mushroom	
1F345	🍅	tomato	
1F346	🍆	aubergine	
1F347	🍇	grapes	
1F348	🍈	melon	
1F349	🍉	watermelon	
1F34A	🍊	tangerine	
1F34C	🍌	banana	U+E744
1F34D	🍍	pineapple	
1F34E	🍎	red apple	U+E745
1F34F	🍏	green apple	
1F351	🍑	peach	
1F352	🍒	cherries	U+E742
1F353	🍓	strawberry	
1F354	🍔	hamburger	U+E673
1F355	🍕	slice of pizza	
1F356	🍖	meat on bone	
1F357	🍗	poultry leg	
1F358	🍘	rice cracker	
1F359	🍙	rice ball	U+E749
1F35A	🍚	cooked rice	
1F35B	🍛	curry and rice	
1F35C	🍜	steaming bowl	U+E74C
1F35D	🍝	spaghetti	
1F35E	🍞	bread	U+E74D
1F35F	🍟	french fries	
1F360	🍠	roasted sweet potato	
1F361	🍡	dango	
1F362	🍢	oden	
1F363	🍣	sushi	
1F364	🍤	fried shrimp	
1F365	🍥	fish cake with swirl design	
1F366	🍦	soft ice cream	
1F367	🍧	shaved ice	
1F368	🍨	ice cream	
1F369	🍩	doughnut	
1F36A	🍪	cookie	
1F36B	🍫	chocolate bar	
1F36C	🍬	candy	
1F36D	🍭	lollipop	
1F36E	🍮	custard	
1F36F	🍯	honey pot	
1F370	🍰	shortcake	U+E74A
1F371	🍱	bento box	
1F372	🍲	pot of food	
1F373	🍳	cooking	
1F374	🍴	fork and knife	U+E66F
1F375	🍵	teacup without handle	U+E71E
1F376	🍶	sake bottle and cup	U+E74B
1F377	🍷	wine glass	U+E756
1F378	🍸	cocktail glass	U+E671
1F379	🍹	tropical drink	
1F37A	🍺	beer mug	U+E672
1F37B	🍻	clinking beer mugs	
1F380	🎀	ribbon	U+E684
1F381	🎁	wrapped present	U+E685
1F382	🎂	birthday cake	U+E686
1F383	🎃	jackolantern	
1F384	🎄	christmas tree	U+E6A4
1F385	🎅	father christmas	
1F386	🎆	fireworks	
1F387	🎇	firework sparkler	
1F388	🎈	balloon	
1F389	🎉	party popper	
1F38A	🎊	confetti ball	
1F38B	🎋	tanabata tree	
1F38C	🎌	crossed flags	
1F38D	🎍	pine decoration	
1F38E	🎎	japanese dolls	
1F38F	🎏	carp streamer	
1F390	🎐	wind chime	
1F391	🎑	moon viewing ceremony	
1F392	🎒	school satchel	
1F393	🎓	graduation cap	
1F3A0	🎠	carousel horse	U+E679
1F3A1	🎡	ferris wheel	
1F3A2	🎢	roller coaster	
1F3A3	🎣	fishing pole and fish	
1F3A4	🎤	microphone	U+E676
1F3A5	🎥	movie camera	U+E677
1F3A6	🎦	cinema	
1F3A7	🎧	headphone	U+E67A
1F3A8	🎨	artist palette	U+E67B
1F3A9	🎩	top hat	U+E67C
1F3AA	🎪	circus tent	U+E67D
1F3AB	🎫	ticket	U+E67E
1F3AC	🎬	clapper board	U+E6AC
1F3AD	🎭	performing arts	
1F3AE	🎮	video game	U+E68B
1F3AF	🎯	direct hit	
1F3B0	🎰	slot machine	
1F3B1	🎱	billiards	
1F3B2	🎲	game die	
1F3B3	🎳	bowling	
1F3B4	🎴	flower playing cards	
1F3B5	🎵	musical note	U+E6F6
1F3B6	🎶	multiple musical notes	U+E6FF
1F3B7	🎷	saxophone	
1F3B8	🎸	guitar	
1F3B9	🎹	musical keyboard	
1F3BA	🎺	trumpet	
1F3BB	🎻	violin	
1F3BC	🎼	musical score	
1F3BD	🎽	running shirt with sash	U+E652
1F3BE	🎾	tennis racquet and ball	U+E655
1F3BF	🎿	ski and ski boot	U+E657
1F3C0	🏀	basketball and hoop	U+E658
1F3C1	🏁	chequered flag	U+E659
1F3C2	🏂	snowboarder	U+E712
1F3C3	🏃	runner	U+E733
1F3C4	🏄	surfer	
1F3C6	🏆	trophy	
1F3C8	🏈	american football	
1F3CA	🏊	swimmer	
1F3E0	🏠	house building	U+E663
1F3E1	🏡	house with garden	
1F3E2	🏢	office building	U+E664
1F3E3	🏣	japanese post office	U+E665
1F3E5	🏥	hospital	U+E666
1F3E6	🏦	bank	U+E667
1F3E7	🏧	automated teller machine	U+E668
1F3E8	🏨	hotel	U+E669
1F3E9	🏩	love hotel	
1F3EA	🏪	convenience store	U+E66A
1F3EB	🏫	school	U+E73E
1F3EC	🏬	department store	
1F3ED	🏭	factory	
1F3EE	🏮	izakaya lantern	
1F3EF	🏯	japanese castle	
1F3F0	🏰	european castle	
1F40C	🐌	snail	U+E74E
1F40D	🐍	snake	
1F40E	🐎	horse	
1F411	🐑	sheep	
1F412	🐒	monkey	
1F414	🐔	chicken	
1F417	🐗	boar	
1F418	🐘	elephant	
1F419	🐙	octopus	
1F41A	🐚	spiral shell	
1F41B	🐛	bug	
1F41C	🐜	ant	
1F41D	🐝	honeybee	
1F41E	🐞	lady beetle	
1F41F	🐟	fish	U+E751
1F420	🐠	tropical fish	
1F421	🐡	blowfish	
1F422	🐢	turtle	
1F423	🐣	hatching chick	
1F424	🐤	baby chick	U+E74F
1F425	🐥	frontfacing baby chick	
1F426	🐦	bird	
1F427	🐧	penguin	U+E750
1F428	🐨	koala	
1F429	🐩	poodle	
1F42B	🐫	bactrian camel	
1F42C	🐬	dolphin	
1F42D	🐭	mouse face	
1F42E	🐮	cow face	
1F42F	🐯	tiger face	
1F430	🐰	rabbit face	
1F431	🐱	cat face	U+E6A2
1F432	🐲	dragon face	
1F433	🐳	spouting whale	
1F434	🐴	horse face	U+E754
1F435	🐵	monkey face	
1F436	🐶	dog face	U+E6A1
1F437	🐷	pig face	U+E755
1F438	🐸	frog face	
1F439	🐹	hamster face	
1F43A	🐺	wolf face	
1F43B	🐻	bear face	
1F43C	🐼	panda face	
1F43D	🐽	pig nose	
1F43E	🐾	paw prints	
1F440	👀	eyes	U+E691
1F442	👂	ear	U+E692
1F443	👃	nose	
1F444	👄	mouth	
1F445	👅	tongue	
1F446	👆	white up pointing backhand index	
1F447	👇	white down pointing backhand index	
1F448	👈	white left pointing backhand index	
1F449	👉	white right pointing backhand index	
1F44A	👊	fisted hand sign	U+E6FD
1F44B	👋	waving hand sign	
1F44C	👌	ok hand sign	
1F44D	👍	thumbs up sign	U+E727
1F44E	👎	thumbs down sign	
1F44F	👏	clapping hands sign	
1F450	👐	open hands sign	
1F451	👑	crown	U+E71A
1F452	👒	womans hat	
1F453	👓	eyeglasses	U+E69A
1F454	👔	necktie	
1F455	👕	tshirt	U+E70E
1F456	👖	jeans	U+E711
1F457	👗	dress	
1F458	👘	kimono	
1F459	👙	bikini	
1F45A	👚	womans clothes	
1F45B	👛	purse	U+E70F
1F45C	👜	handbag	U+E682
1F45D	👝	pouch	U+E6AD
1F45E	👞	mans shoe	
1F45F	👟	athletic shoe	U+E699
1F460	👠	highheeled shoe	U+E674
1F461	👡	womans sandal	
1F462	👢	womans boots	
1F463	👣	footprints	U+E698
1F464	👤	bust in silhouette	U+E6B1
1F466	👦	boy	
1F467	👧	girl	
1F468	👨	man	
1F469	👩	woman	
1F46A	👪	family	
1F46B	👫	man and woman holding hands	
1F46E	👮	police officer	
1F46F	👯	woman with bunny ears	
1F470	👰	bride with veil	
1F471	👱	person with blond hair	
1F472	👲	man with gua pi mao	
1F473	👳	man with turban	
1F474	👴	older man	
1F475	👵	older woman	
1F476	👶	baby	
1F477	👷	construction worker	
1F478	👸	princess	
1F479	👹	japanese ogre	
1F47A	👺	japanese goblin	
1F47B	👻	ghost	
1F47C	👼	baby angel	
1F47D	👽	extraterrestrial alien	
1F47E	👾	alien monster	
1F47F	👿	imp	
1F480	💀	skull	
1F481	💁	information desk person	
1F482	💂	guardsman	
1F483	💃	dancer	
1F484	💄	lipstick	U+E710
1F485	💅	nail polish	
1F486	💆	face massage	
1F487	💇	haircut	
1F488	💈	barber pole	
1F489	💉	syringe	
1F48A	💊	pill	
1F48B	💋	kiss mark	U+E6F9
1F48C	💌	love letter	U+E717
1F48D	💍	ring	U+E71B
1F48E	💎	gem stone	
1F48F	💏	kiss	
1F490	💐	bouquet	
1F491	💑	couple with heart	
1F492	💒	wedding	
1F493	💓	beating heart	U+E6ED
1F494	💔	broken heart	U+E6EE
1F495	💕	two hearts	U+E6EF
1F496	💖	sparkling heart	
1F497	💗	growing heart	
1F498	💘	heart with arrow	
1F499	💙	blue heart	
1F49A	💚	green heart	
1F49B	💛	yellow heart	
1F49C	💜	purple heart	
1F49D	💝	heart with ribbon	
1F49E	💞	revolving hearts	
1F49F	💟	heart decoration	
1F4A0	💠	diamond shape with a dot inside	U+E6F8
1F4A1	💡	electric light bulb	U+E6FB
1F4A2	💢	anger symbol	U+E6FC
1F4A3	💣	bomb	U+E6FE
1F4A4	💤	sleeping symbol	U+E701
1F4A5	💥	collision symbol	U+E705
1F4A6	💦	splashing sweat symbol	U+E706
1F4A7	💧	droplet	U+E707
1F4A8	💨	dash symbol	U+E708
1F4A9	💩	pile of poo	
1F4AA	💪	flexed biceps	
1F4AB	💫	dizzy symbol	
1F4AC	💬	speech balloon	
1F4AE	💮	white flower	
1F4AF	💯	hundred points symbol	
1F4B0	💰	money bag	U+E715
1F4B1	💱	currency exchange	
1F4B2	💲	heavy dollar sign	
1F4B3	💳	credit card	
1F4B4	💴	banknote with yen sign	U+E6D6
1F4B5	💵	banknote with dollar sign	
1F4B8	💸	money with wings	
1F4B9	💹	chart with upwards trend and yen sign	
1F4BA	💺	seat	U+E6B2
1F4BB	💻	personal computer	U+E716
1F4BC	💼	briefcase	
1F4BD	💽	minidisc	
1F4BE	💾	floppy disk	
1F4BF	💿	optical disc	U+E68C
1F4C0	📀	dvd	
1F4C1	📁	file folder	
1F4C2	📂	open file folder	
1F4C3	📃	page with curl	
1F4C4	📄	page facing up	
1F4C5	📅	calendar	
1F4C6	📆	tearoff calendar	
1F4C7	📇	card index	
1F4C8	📈	chart with upwards trend	
1F4C9	📉	chart with downwards trend	
1F4CA	📊	bar chart	
1F4CB	📋	clipboard	
1F4CC	📌	pushpin	
1F4CD	📍	round pushpin	
1F4CE	📎	paperclip	U+E730
1F4CF	📏	straight ruler	
1F4D0	📐	triangular ruler	
1F4D1	📑	bookmark tabs	
1F4D2	📒	ledger	
1F4D3	📓	notebook	
1F4D4	📔	notebook with decorative cover	
1F4D5	📕	closed book	
1F4D6	📖	open book	U+E683
1F4D7	📗	green book	
1F4D8	📘	blue book	
1F4D9	📙	orange book	
1F4DA	📚	books	
1F4DB	📛	name badge	
1F4DC	📜	scroll	
1F4DD	📝	memo	U+E689
1F4DE	📞	telephone receiver	
1F4DF	📟	pager	U+E65A
1F4E0	📠	fax machine	U+E6D0
1F4E1	📡	satellite antenna	
1F4E2	📢	public address loudspeaker	
1F4E3	📣	cheering megaphone	
1F4E4	📤	outbox tray	
1F4E5	📥	inbox tray	
1F4E6	📦	package	
1F4E7	📧	email symbol	
1F4E8	📨	incoming envelope	
1F4E9	📩	envelope with downwards arrow above	U+E6CF
1F4EA	📪	closed mailbox with lowered flag	
1F4EB	📫	closed mailbox with raised flag	
1F4EE	📮	postbox	
1F4F0	📰	newspaper	
1F4F1	📱	mobile phone	U+E688
1F4F2	📲	mobile phone with rightwards arrow at left	U+E6CE
1F4F3	📳	vibration mode	
1F4F4	📴	mobile phone off	
1F4F6	📶	antenna with bars	
1F4F7	📷	camera	U+E681
1F4F9	📹	video camera	
1F4FA	📺	television	U+E68A
1F4FB	📻	radio	
1F4FC	📼	videocassette	
1F503	🔃	clockwise downwards and upwards open circle arrows	
1F50A	🔊	speaker with three sound waves	
1F50B	🔋	battery	
1F50C	🔌	electric plug	
1F50D	🔍	leftpointing magnifying glass	U+E6DC
1F50E	🔎	rightpointing magnifying glass	
1F50F	🔏	lock with ink pen	
1F510	🔐	closed lock with key	
1F511	🔑	key	U+E6D9
1F512	🔒	lock	
1F513	🔓	open lock	
1F514	🔔	bell	U+E713
1F516	🔖	bookmark	
1F517	🔗	link symbol	
1F518	🔘	radio button	
1F519	🔙	back with leftwards arrow above	
1F51A	🔚	end with leftwards arrow above	U+E6B9
1F51B	🔛	on with exclamation mark with left right arrow	U+E6B8
1F51C	🔜	soon with rightwards arrow above	U+E6B7
1F51D	🔝	top with upwards arrow above	
1F51E	🔞	no one under eighteen symbol	
1F51F	🔟	keycap ten	
1F520	🔠	input symbol for latin capital letters	
1F521	🔡	input symbol for latin small letters	
1F522	🔢	input symbol for numbers	
1F523	🔣	input symbol for symbols	
1F524	🔤	input symbol for latin letters	
1F525	🔥	fire	
1F526	🔦	electric torch	
1F527	🔧	wrench	U+E718
1F528	🔨	hammer	
1F529	🔩	nut and bolt	
1F52A	🔪	hocho	
1F52B	🔫	pistol	
1F52E	🔮	crystal ball	
1F52F	🔯	six pointed star with middle dot	
1F530	🔰	japanese symbol for beginner	
1F531	🔱	trident emblem	
1F532	🔲	black square button	
1F533	🔳	white square button	
1F534	🔴	large red circle	
1F535	🔵	large blue circle	
1F536	🔶	large orange diamond	
1F537	🔷	large blue diamond	
1F538	🔸	small orange diamond	
1F539	🔹	small blue diamond	
1F53A	🔺	uppointing red triangle	
1F53B	🔻	downpointing red triangle	
1F53C	🔼	uppointing small red triangle	
1F53D	🔽	downpointing small red triangle	
1F550	🕐	clock face one oclock	
1F551	🕑	clock face two oclock	
1F552	🕒	clock face three oclock	
1F553	🕓	clock face four oclock	
1F554	🕔	clock face five oclock	
1F555	🕕	clock face six oclock	
1F556	🕖	clock face seven oclock	
1F557	🕗	clock face eight oclock	
1F558	🕘	clock face nine oclock	
1F559	🕙	clock face ten oclock	
1F55A	🕚	clock face eleven oclock	
1F55B	🕛	clock face twelve oclock	
1F5FB	🗻	mount fuji	U+E740
1F5FC	🗼	tokyo tower	
1F5FD	🗽	statue of liberty	
1F5FE	🗾	silhouette of japan	
1F5FF	🗿	moyai	
1F601	😁	grinning face with smiling eyes	U+E753
1F602	😂	face with tears of joy	
1F603	😃	smiling face with open mouth	U+E6F0
1F604	😄	smiling face with open mouth and smiling eyes	
1F605	😅	smiling face with open mouth and cold sweat	U+E722
